Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Currently logged in as: ian-vyse (bc-uncertainty) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: creating run
wandb: Tracking run with wandb version 0.19.8
wandb: Run data is saved locally in /home/vyseian/GitHub/SAILOR/wandb/run-20260114_191551-p0lotglo
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run robomimic__square/seed0_demos299
wandb: ⭐️ View project at https://wandb.ai/bc-uncertainty/SAILOR_robomimic
wandb: 🚀 View run at https://wandb.ai/bc-uncertainty/SAILOR_robomimic/runs/p0lotglo
[robosuite WARNING] No private macro file found! (macros.py:53)
[robosuite WARNING] It is recommended to use a private macro file (macros.py:54)
[robosuite WARNING] To setup, run: python /home/vyseian/miniconda3/envs/robomimic_env/lib/python3.10/site-packages/robosuite/scripts/setup_macros.py (macros.py:55)
Logdir scratch_dir/logs/robomimic__square/seed0_demos299/seed0
---------------------
Task: robomimic__square
Logging to: scratch_dir/logs/robomimic__square/seed0_demos299/seed0
Time Limit: 500 | Max Env Steps: 756756
---------------------
ROBOMIMIC WARNING(
    No private macro file found!
    It is recommended to use a private macro file
    To setup, run: python /home/vyseian/miniconda3/envs/robomimic_env/lib/python3.10/site-packages/robomimic/scripts/setup_macros.py
)
Initizalizing norm_dict with ob_dim=9 and ac_dim=7
Loaded 299 training episodes
Loaded 1 validation episodes
Min expert demo length: 123
Max expert demo length: 1051
Avg expert demo length: 268.8026755852843
Enviroment State Dim: 9, Action Dim: 7
Initialized robomimic env with action repeat: 1, time limit: 500
Initialized robomimic env with action repeat: 1, time limit: 500
Initialized robomimic env with action repeat: 1, time limit: 500
Initialized robomimic env with action repeat: 1, time limit: 500
Initialized robomimic env with action repeat: 1, time limit: 500
Initialized robomimic env with action repeat: 1, time limit: 500
Initialized robomimic env with action repeat: 1, time limit: 500
Initialized robomimic env with action repeat: 1, time limit: 500
Initialized robomimic env with action repeat: 1, time limit: 500
Initialized robomimic env with action repeat: 1, time limit: 500
Action Space: Box(-1.0, 1.0, (7,), float32). Low: [-1. -1. -1. -1. -1. -1. -1.]. High: [1. 1. 1. 1. 1. 1. 1.]
----------------No base policy path provided, begin training diffusion policy--------------
DiffusionUnet + ResNet18 has 27272407 parameters
Scheduler Initialized:  <data4robotics.trainers.base.CosineAnnealingWarmupRestarts object at 0x7a5cd8ac1660>
DP Step: 0	Log Step: 0	Loss: 68.08232116699219
DP Step: 100	Log Step: 100	Loss: 35.54771041870117
DP Step: 200	Log Step: 200	Loss: 17.43099594116211
DP Step: 300	Log Step: 300	Loss: 11.121271133422852
DP Step: 400	Log Step: 400	Loss: 9.959549903869629
DP Step: 500	Log Step: 500	Loss: 7.607141494750977
DP Step: 600	Log Step: 600	Loss: 6.291818141937256
DP Step: 700	Log Step: 700	Loss: 9.467912673950195
DP Step: 800	Log Step: 800	Loss: 6.859855651855469
DP Step: 900	Log Step: 900	Loss: 7.46317195892334
DP Step: 1000	Log Step: 1000	Loss: 6.250565528869629
DP Step: 1100	Log Step: 1100	Loss: 5.30256462097168
DP Step: 1200	Log Step: 1200	Loss: 5.025175094604492
DP Step: 1300	Log Step: 1300	Loss: 5.638108253479004
DP Step: 1400	Log Step: 1400	Loss: 5.115165710449219
DP Step: 1500	Log Step: 1500	Loss: 5.313840866088867
DP Step: 1600	Log Step: 1600	Loss: 5.490299224853516
DP Step: 1700	Log Step: 1700	Loss: 4.711223602294922
DP Step: 1800	Log Step: 1800	Loss: 6.524742126464844
DP Step: 1900	Log Step: 1900	Loss: 4.154694080352783
DP Step: 2000	Log Step: 2000	Loss: 4.901239395141602
DP Step: 2100	Log Step: 2100	Loss: 4.294689178466797
DP Step: 2200	Log Step: 2200	Loss: 5.201340675354004
DP Step: 2300	Log Step: 2300	Loss: 4.479972839355469
DP Step: 2400	Log Step: 2400	Loss: 3.9641778469085693
DP Step: 2500	Log Step: 2500	Loss: 3.1932687759399414
DP Step: 2600	Log Step: 2600	Loss: 4.68828010559082
DP Step: 2700	Log Step: 2700	Loss: 4.211942195892334
DP Step: 2800	Log Step: 2800	Loss: 3.2594361305236816
DP Step: 2900	Log Step: 2900	Loss: 3.398550033569336
DP Step: 3000	Log Step: 3000	Loss: 3.7028956413269043
DP Step: 3100	Log Step: 3100	Loss: 3.934739112854004
DP Step: 3200	Log Step: 3200	Loss: 2.9945459365844727
DP Step: 3300	Log Step: 3300	Loss: 2.714700222015381
DP Step: 3400	Log Step: 3400	Loss: 3.485837697982788
DP Step: 3500	Log Step: 3500	Loss: 3.366366386413574
DP Step: 3600	Log Step: 3600	Loss: 3.0149080753326416
DP Step: 3700	Log Step: 3700	Loss: 2.640352725982666
DP Step: 3800	Log Step: 3800	Loss: 2.6291756629943848
DP Step: 3900	Log Step: 3900	Loss: 2.6522886753082275
DP Step: 4000	Log Step: 4000	Loss: 2.8307340145111084
DP Step: 4100	Log Step: 4100	Loss: 2.4735312461853027
DP Step: 4200	Log Step: 4200	Loss: 3.6479365825653076
DP Step: 4300	Log Step: 4300	Loss: 3.526860475540161
DP Step: 4400	Log Step: 4400	Loss: 3.0702266693115234
DP Step: 4500	Log Step: 4500	Loss: 2.344369411468506
